IMO Number, Engine S/N, Channel, Channel Description, Timestamp, Value, Unit
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:42:12+08:00,37.0,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:43:13+08:00,28.63,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:43:13+08:00,36.87,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:44:13+08:00,28.94,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:44:13+08:00,36.73,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:45:13+08:00,29.42,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:45:13+08:00,36.63,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:46:13+08:00,29.09,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:46:13+08:00,36.47,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:47:14+08:00,28.71,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:47:14+08:00,36.47,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:48:14+08:00,28.45,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:48:14+08:00,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:49:14+08:00,28.77,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:49:14+08:00,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:50:15+08:00,28.7,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:50:15+08:00,36.8,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:51:15+08:00,28.44,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:51:15+08:00,36.63,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:52:15+08:00,28.55,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:52:15+08:00,37.03,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:53:15+08:00,29.4,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:53:15+08:00,37.06,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:54:16+08:00,28.78,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:54:16+08:00,36.94,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:55:16+08:00,29.09,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:55:16+08:00,36.94,deg C
