IMO Number, Engine S/N, Channel, Channel Description, Timestamp, Value, Unit
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:35:10,28.46,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:35:10,36.53,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:36:11,28.27,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:36:11,36.28,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:37:11,28.63,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:37:11,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:38:11,28.31,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:38:11,36.44,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:39:12,28.53,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:39:12,36.44,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:40:12,28.6,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:40:12,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:41:12,28.03,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:41:12,36.62,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:42:12,28.96,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:42:12,37.0,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:43:13,28.63,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:43:13,36.87,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:44:13,28.94,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:44:13,36.73,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:45:13,29.42,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:45:13,36.63,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:46:13,29.09,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:46:13,36.47,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:47:14,28.71,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:47:14,36.47,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:48:14,28.45,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:48:14,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:49:14,28.77,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:49:14,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:50:15,28.7,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:50:15,36.8,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:51:15,28.44,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:51:15,36.63,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:52:15,28.55,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:52:15,37.03,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:53:15,29.4,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:53:15,37.06,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:54:16,28.78,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:54:16,36.94,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:55:16,29.09,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:55:16,36.94,deg C
